timestamp: 20260407_102052
tag: autosave
map_size_pixels: 3000
map_size_meters: 8
robot_x_mm: 6035.0
robot_y_mm: 4167.7
robot_theta_deg: 13.1
path_points: 169
  4000.0,4000.0
  3973.8,4005.0
  3960.4,4012.5
  3935.3,4006.0
  3926.4,3989.7
  3962.8,3999.4
  3980.2,3994.6
  3994.9,3998.0
  4011.5,3999.6
  4031.6,3990.4
  4046.6,4004.7
  4069.7,4011.6
  4095.6,3976.1
  4120.4,3924.7
  4156.5,3889.8
  4215.2,3913.7
  4292.2,4052.3
  4331.9,4028.1
  4371.0,4004.3
  4415.9,3985.6
  4464.9,3969.1
  4499.3,3945.3
  4543.3,3912.0
  4749.6,3976.0
  4769.6,3967.7
  4841.1,3958.2
  5024.2,3962.1
  5023.0,3978.4
  5090.0,4001.0
  5154.7,4021.7
  5208.2,4037.9
  5256.5,4051.4
  5291.1,4063.6
  5321.3,4073.7
  5440.8,4087.8
  5450.8,4049.0
  5447.1,4001.8
  5438.7,3946.2
  5418.8,3886.0
  5397.4,3829.0
  5428.4,3775.8
  5323.0,3719.3
  5280.0,3665.4
  5235.0,3614.8
  5176.3,3572.5
  5123.1,3533.2
  5070.5,3499.1
  5012.2,3471.4
  4948.0,3445.2
  4906.6,3430.9
  4845.4,3420.5
  4798.4,3406.6
  4748.6,3398.0
  4700.9,3394.6
  4658.5,3395.0
  4623.6,3392.5
  4599.1,3398.9
  4580.5,3401.3
  4593.2,3421.1
  4625.1,3413.2
  4646.0,3454.7
  4658.8,3484.2
  4664.4,3524.3
  4654.8,3561.2
  4653.3,3595.6
  4644.9,3623.9
  4639.2,3646.9
  4606.8,3652.9
  4624.0,3646.4
  4645.1,3645.7
  4663.4,3644.0
  4685.3,3641.1
  4708.3,3644.8
  4722.9,3638.5
  4739.6,3624.8
  4729.8,3587.2
  4874.7,3556.4
  4870.0,3532.2
  4740.2,3513.6
  4849.1,3487.7
  4857.8,3473.2
  4847.6,3434.8
  4833.8,3427.3
  4820.9,3407.6
  5332.1,3261.2
  5724.5,3527.4
  6163.3,3448.9
  6236.1,3518.1
  6242.4,3541.2
  6249.2,3577.7
  6253.3,3618.7
  6250.5,3663.4
  6250.5,3734.2
  6251.3,3773.8
  6255.5,3833.4
  6557.2,4133.0
  6626.2,4323.6
  6627.5,4355.0
  6688.4,4699.5
  6680.4,5012.5
  6675.3,5041.9
  6665.5,5073.2
  6655.7,5098.7
  6653.2,5142.3
  6655.6,5174.0
  6663.9,5214.4
  6674.9,5258.1
  6681.8,5294.0
  6570.5,5380.4
  6694.2,5367.0
  6700.6,5394.9
  6700.6,5424.7
  6695.0,5392.6
  6693.6,5366.6
  6693.1,5338.3
  6691.2,5311.6
  6690.7,5286.5
  6688.9,5262.8
  6688.4,5240.2
  6686.8,5211.0
  6680.0,5196.0
  6672.4,5177.8
  6662.3,5158.8
  6657.0,5141.6
  6651.8,5124.1
  6647.7,5107.3
  6639.7,5092.5
  6638.0,5073.0
  6640.7,5049.3
  6646.5,5024.1
  6661.1,5008.2
  6671.7,4985.0
  6689.0,4963.1
  6696.2,4940.2
  6716.2,4914.3
  6539.1,4962.2
  6632.9,4901.6
  6740.4,4831.9
  6680.5,4833.2
  6694.2,4807.1
  6774.6,4762.2
  6795.2,4741.6
  6810.0,4725.3
  6783.7,4690.0
  6756.2,4675.5
  6729.5,4662.6
  6694.7,4650.5
  6661.2,4629.9
  6631.1,4606.9
  6598.7,4589.4
  6567.1,4568.2
  6532.1,4549.4
  6501.5,4527.4
  6454.0,4510.4
  6448.0,4464.6
  6571.1,4378.8
  6462.7,4387.1
  6425.6,4370.1
  6321.3,4372.7
  6287.0,4348.7
  6239.7,4330.6
  6260.3,4279.4
  6162.1,4264.1
  6098.6,4239.3
  6090.1,4205.6
  6009.0,4139.9
  5956.4,4110.9
  5912.6,4076.4
  6035.0,4167.7
